input,output
"[S(v, q)] B(x, o) | S(v, d) | S(d, u) | S(p, q) | S(s, m) | S(u, p)","[0, 1, 1, 1, 0, 1]"
"[P(e, c)] P(p, c) | P(i, p) | B(z, f) | P(q, g) | P(e, i) | S(x, m) | P(s, u)","[1, 1, 0, 0, 1, 0, 0]"
"[B(d, b)] B(t, b) | B(p, v) | S(s, a) | P(k, u) | P(o, l) | B(d, n) | B(n, t)","[1, 0, 0, 0, 0, 1, 1]"
"[S(d, u)] S(z, u) | B(l, o) | S(r, z) | B(q, e) | B(n, t) | P(f, a) | S(d, r)","[1, 0, 1, 0, 0, 0, 1]"
"[B(s, m)] B(t, e) | B(e, i) | S(g, h) | S(j, p) | B(s, w) | B(w, t) | S(f, n) | B(i, m)","[1, 1, 0, 0, 1, 1, 0, 1]"
"[P(r, q)] P(v, w) | P(f, q) | P(s, x) | P(a, f) | P(r, s) | P(x, a) | B(m, p)","[0, 1, 1, 1, 1, 1, 0]"
"[B(j, o)] B(j, q) | P(p, v) | B(h, o) | B(q, h) | S(g, i)","[1, 0, 1, 1, 0]"
"[P(j, b)] B(u, r) | P(j, f) | P(f, n) | P(n, b) | P(o, w)","[0, 1, 1, 1, 0]"
"[S(i, z)] S(d, z) | S(w, d) | S(t, w) | B(u, f) | S(i, t) | S(g, l)","[1, 1, 1, 0, 1, 0]"
"[B(l, a)] B(e, x) | B(o, a) | B(g, b) | B(q, o) | B(l, q)","[0, 1, 0, 1, 1]"
"[B(o, c)] B(j, r) | B(o, d) | B(q, c) | B(u, h) | P(e, i) | B(d, y) | B(y, m) | B(m, q)","[0, 1, 1, 0, 0, 1, 1, 1]"
"[P(o, f)] P(j, f) | B(i, u) | P(e, q) | B(s, z) | P(o, e) | P(q, j) | S(r, x)","[1, 0, 1, 0, 1, 1, 0]"
"[S(d, u)] S(d, n) | S(f, y) | S(n, z) | B(s, k) | P(b, p) | S(z, u)","[1, 0, 1, 0, 0, 1]"
"[P(e, f)] B(j, v) | B(m, w) | B(u, b) | P(x, q) | P(g, f) | P(q, r) | S(c, p) | P(e, x) | P(r, g)","[0, 0, 0, 1, 1, 1, 0, 1, 1]"
"[B(j, n)] B(j, m) | B(m, i) | S(r, x) | B(l, n) | B(h, l) | B(i, h) | S(f, q)","[1, 1, 0, 1, 1, 1, 0]"
"[B(x, i)] S(w, f) | S(o, t) | B(e, i) | B(l, u) | B(x, l) | B(r, z) | B(u, e)","[0, 0, 1, 1, 1, 0, 1]"
"[S(k, n)] S(j, z) | S(k, g) | S(h, v) | S(g, q) | S(q, h) | B(c, d) | S(x, f) | S(v, n) | P(w, e)","[0, 1, 1, 1, 1, 0, 0, 1, 0]"
"[S(y, a)] S(e, i) | S(c, v) | S(y, e) | S(i, c) | S(h, z) | S(g, t) | S(v, a)","[1, 1, 1, 1, 0, 0, 1]"
"[B(i, a)] P(w, p) | B(c, a) | B(n, c) | B(i, n) | S(b, f) | B(v, u) | P(g, x)","[0, 1, 1, 1, 0, 0, 0]"
"[P(z, w)] P(c, f) | B(d, h) | P(j, y) | P(z, c) | B(i, g) | P(k, w) | P(f, k)","[1, 0, 0, 1, 0, 1, 1]"
"[P(x, l)] P(s, r) | P(x, s) | B(f, y) | B(m, d) | P(r, l) | S(w, g)","[1, 1, 0, 0, 1, 0]"
"[P(c, l)] P(b, l) | P(x, s) | P(c, x) | P(i, n) | P(s, b) | B(k, j)","[1, 1, 1, 0, 1, 0]"
"[S(y, v)] S(q, v) | S(x, q) | S(y, c) | B(g, f) | B(r, u) | S(c, l) | B(b, p) | S(l, x)","[1, 1, 1, 0, 0, 1, 0, 1]"
"[B(h, c)] B(n, v) | B(d, c) | B(g, d) | B(k, o) | B(h, g)","[0, 1, 1, 0, 1]"
"[S(b, s)] S(n, s) | S(d, n) | S(b, d) | S(u, w) | B(a, x)","[1, 1, 1, 0, 0]"
"[S(m, d)] B(r, a) | B(b, c) | S(t, p) | S(w, q) | S(q, k) | S(m, w) | S(k, d)","[0, 0, 0, 1, 1, 1, 1]"
"[B(v, t)] B(j, d) | B(k, j) | B(m, f) | S(x, h) | B(v, k) | S(s, b) | B(d, t)","[1, 1, 0, 0, 1, 0, 1]"
"[S(q, l)] B(n, i) | S(q, e) | P(x, f) | S(e, v) | P(j, a) | S(v, l) | B(p, u)","[0, 1, 0, 1, 0, 1, 0]"
"[P(m, c)] B(u, a) | P(m, r) | B(t, d) | P(r, f) | S(j, x) | P(f, c) | B(z, q)","[0, 1, 0, 1, 0, 1, 0]"
"[B(k, c)] B(k, p) | P(m, b) | B(n, e) | P(g, f) | B(e, c) | B(u, o) | B(p, n)","[1, 0, 1, 0, 1, 0, 1]"
"[S(i, x)] P(a, w) | S(u, t) | P(v, g) | S(i, d) | P(j, f) | S(t, x) | S(d, u)","[0, 1, 0, 1, 0, 1, 1]"
"[S(d, y)] S(d, e) | S(l, a) | P(i, z) | S(u, s) | S(a, y) | S(j, l) | P(c, b) | S(q, x) | S(e, j)","[1, 1, 0, 0, 1, 1, 0, 0, 1]"
"[S(k, y)] S(v, f) | S(u, p) | S(s, y) | S(w, x) | S(g, s) | S(k, g) | B(d, m)","[0, 0, 1, 0, 1, 1, 0]"
"[B(t, s)] S(q, r) | B(t, l) | S(j, w) | P(d, x) | B(l, k) | B(k, s)","[0, 1, 0, 0, 1, 1]"
"[B(l, m)] B(p, b) | S(q, g) | B(b, e) | P(u, h) | B(e, m) | B(l, p)","[1, 0, 1, 0, 1, 1]"
"[P(b, o)] P(m, j) | P(h, u) | P(p, o) | B(n, x) | S(a, v) | P(f, y) | P(s, m) | P(j, p) | P(b, s)","[1, 0, 1, 0, 0, 0, 1, 1, 1]"
"[S(b, a)] S(n, j) | S(j, a) | S(u, v) | S(b, u) | P(g, f) | S(v, n) | S(e, k)","[1, 1, 1, 1, 0, 1, 0]"
"[S(n, r)] S(k, a) | S(d, w) | S(l, g) | S(w, k) | S(n, d) | S(a, r) | B(i, h) | B(j, y)","[1, 1, 0, 1, 1, 1, 0, 0]"
"[B(o, b)] B(c, b) | S(x, v) | S(f, r) | B(o, e) | B(e, c)","[1, 0, 0, 1, 1]"
"[P(l, o)] P(k, q) | P(a, o) | B(m, d) | S(j, b) | P(q, a) | B(z, n) | S(t, e) | P(l, k)","[1, 1, 0, 0, 1, 0, 0, 1]"
"[S(g, i)] P(t, v) | S(f, s) | S(q, k) | S(g, q) | S(k, i) | S(m, b)","[0, 0, 1, 1, 1, 0]"
"[S(s, o)] P(x, n) | S(y, l) | P(d, t) | S(r, q) | S(l, o) | S(s, r) | S(q, y) | S(b, h)","[0, 1, 0, 1, 1, 1, 1, 0]"
"[B(d, w)] B(k, h) | B(h, n) | B(d, k) | B(v, a) | B(z, w) | B(n, z) | B(j, s) | B(x, i)","[1, 1, 1, 0, 1, 1, 0, 0]"
"[P(m, o)] P(m, x) | P(q, o) | P(h, i) | P(x, j) | P(j, q) | B(k, l) | S(s, e)","[1, 1, 0, 1, 1, 0, 0]"
"[P(o, y)] P(z, y) | P(h, q) | P(s, z) | P(o, s) | B(f, c)","[1, 0, 1, 1, 0]"
"[P(u, e)] P(l, j) | B(a, i) | P(j, e) | P(y, l) | P(f, y) | P(c, g) | B(m, q) | P(s, b) | P(u, f)","[1, 0, 1, 1, 1, 0, 0, 0, 1]"
"[S(e, k)] P(o, p) | S(t, w) | S(e, t) | P(q, j) | S(n, v) | S(g, z) | S(d, k) | S(w, d)","[0, 1, 1, 0, 0, 0, 1, 1]"
"[P(w, u)] P(b, d) | P(w, i) | P(e, y) | P(s, u) | S(r, c) | S(k, z) | P(i, s)","[0, 1, 0, 1, 0, 0, 1]"
"[P(d, v)] P(p, v) | P(j, h) | P(c, p) | S(r, w) | B(z, k) | P(d, e) | P(e, c) | S(a, b)","[1, 0, 1, 0, 0, 1, 1, 0]"
"[B(h, z)] B(x, i) | B(f, x) | B(a, f) | B(h, a) | S(k, t) | P(m, g) | B(i, z)","[1, 1, 1, 1, 0, 0, 1]"
"[B(k, r)] B(x, z) | P(m, q) | B(n, i) | B(a, r) | B(k, v) | B(e, d) | B(i, a) | B(v, n) | P(f, j)","[0, 0, 1, 1, 1, 0, 1, 1, 0]"
"[P(m, z)] B(s, u) | P(w, y) | P(a, t) | S(j, p) | P(y, z) | P(m, g) | P(g, w)","[0, 1, 0, 0, 1, 1, 1]"
"[B(d, s)] B(f, s) | B(d, i) | S(w, t) | B(i, f) | S(g, u)","[1, 1, 0, 1, 0]"
"[S(u, j)] P(a, y) | S(u, m) | B(n, v) | S(q, j) | P(s, x) | S(m, q)","[0, 1, 0, 1, 0, 1]"
"[B(r, d)] B(u, d) | B(r, f) | B(f, u) | S(i, c) | S(s, m)","[1, 1, 1, 0, 0]"
"[B(q, s)] B(w, v) | P(u, r) | B(l, s) | B(q, p) | B(p, l) | B(y, i) | S(n, b)","[0, 0, 1, 1, 1, 0, 0]"
"[S(f, t)] S(f, z) | S(k, d) | S(l, t) | S(z, l) | P(v, i)","[1, 0, 1, 1, 0]"
"[B(e, z)] B(e, k) | B(g, b) | B(m, q) | S(t, d) | B(q, v) | B(v, z) | B(k, m)","[1, 0, 1, 0, 1, 1, 1]"
"[S(g, z)] S(g, a) | P(d, q) | S(x, r) | B(c, p) | S(a, b) | S(b, k) | S(k, s) | S(s, z)","[1, 0, 0, 0, 1, 1, 1, 1]"
"[S(k, h)] P(f, i) | S(o, d) | S(s, q) | S(a, h) | S(l, a) | S(k, l)","[0, 0, 0, 1, 1, 1]"
"[B(v, d)] B(s, p) | B(k, n) | B(q, d) | B(n, q) | B(y, k) | P(i, e) | B(v, y)","[0, 1, 1, 1, 1, 0, 1]"
"[S(s, k)] P(w, a) | S(s, v) | B(n, g) | S(v, d) | P(u, e) | S(d, k)","[0, 1, 0, 1, 0, 1]"
"[B(h, r)] B(i, e) | B(y, l) | B(d, g) | B(s, t) | B(h, d) | B(g, r) | S(b, v)","[0, 0, 1, 0, 1, 1, 0]"
"[B(j, t)] B(j, c) | B(v, h) | P(a, e) | B(h, l) | B(l, t) | B(o, r) | B(c, v) | B(m, w) | S(x, n)","[1, 1, 0, 1, 1, 0, 1, 0, 0]"
"[S(c, e)] S(m, b) | B(r, l) | S(b, e) | S(t, x) | S(u, d) | S(v, w) | S(c, m)","[1, 0, 1, 0, 0, 0, 1]"
"[P(x, k)] P(e, v) | P(f, y) | P(y, k) | B(o, z) | P(n, h) | P(p, i) | P(x, p) | P(i, f) | P(a, d)","[0, 1, 1, 0, 0, 1, 1, 1, 0]"
"[P(t, i)] B(k, p) | P(w, d) | P(t, l) | P(d, i) | P(l, n) | P(n, w) | P(b, g) | P(v, q) | S(z, s)","[0, 1, 1, 1, 1, 1, 0, 0, 0]"
"[P(i, v)] P(i, l) | P(p, v) | S(a, d) | P(l, p) | S(y, s)","[1, 1, 0, 1, 0]"
"[S(k, z)] S(p, z) | S(k, r) | B(u, l) | S(r, s) | S(q, o) | S(s, t) | S(t, p)","[1, 1, 0, 1, 0, 1, 1]"
"[B(f, d)] B(v, k) | B(l, a) | B(a, d) | S(h, i) | B(f, l)","[0, 1, 1, 0, 1]"
"[B(a, v)] B(o, v) | B(k, o) | B(n, w) | B(a, t) | B(m, c) | B(t, k)","[1, 1, 0, 1, 0, 1]"
"[B(d, b)] P(j, n) | B(l, h) | B(v, b) | B(d, m) | P(a, o) | B(e, r) | B(m, l) | P(t, f) | B(h, v)","[0, 1, 1, 1, 0, 0, 1, 0, 1]"
"[P(g, c)] P(z, a) | P(v, c) | P(y, v) | S(w, s) | P(g, z) | P(a, y) | P(h, i) | P(m, r) | B(l, o)","[1, 1, 1, 0, 1, 1, 0, 0, 0]"
"[S(v, m)] B(o, t) | S(w, a) | P(n, h) | S(z, m) | S(v, w) | B(j, r) | S(a, f) | S(s, u) | S(f, z)","[0, 1, 0, 1, 1, 0, 1, 0, 1]"
"[S(n, g)] S(b, h) | S(c, j) | B(p, t) | S(n, b) | B(f, a) | S(h, c) | S(j, g)","[1, 1, 0, 1, 0, 1, 1]"
"[S(l, e)] S(f, n) | S(b, e) | S(n, b) | B(w, x) | S(l, f) | B(c, k)","[1, 1, 1, 0, 1, 0]"
"[S(o, i)] S(c, k) | S(e, v) | S(o, u) | S(u, e) | P(p, h) | S(f, s) | S(m, i) | S(v, m)","[0, 1, 1, 1, 0, 0, 1, 1]"
"[P(t, i)] P(t, m) | P(m, r) | B(h, f) | B(u, w) | P(j, q) | P(r, i)","[1, 1, 0, 0, 0, 1]"
"[S(r, g)] P(q, f) | S(h, p) | S(m, u) | S(z, g) | S(r, x) | S(u, z) | S(x, m) | B(n, o) | B(c, v)","[0, 0, 1, 1, 1, 1, 1, 0, 0]"
"[S(x, u)] S(b, y) | S(y, u) | S(x, f) | P(s, l) | P(p, r) | S(f, b) | B(a, e)","[1, 1, 1, 0, 0, 1, 0]"
"[S(i, t)] P(k, s) | S(d, g) | P(n, v) | S(i, d) | S(g, t) | B(x, y)","[0, 1, 0, 1, 1, 0]"
"[B(l, g)] B(l, s) | B(s, x) | B(u, g) | B(k, t) | S(e, o) | B(x, u)","[1, 1, 1, 0, 0, 1]"
"[B(g, k)] B(g, e) | S(l, f) | S(o, h) | B(e, x) | B(v, k) | B(x, u) | B(u, v)","[1, 0, 0, 1, 1, 1, 1]"
"[B(w, q)] B(g, z) | B(w, f) | B(y, q) | B(f, g) | P(p, u) | B(z, y) | P(o, m)","[1, 1, 1, 1, 0, 1, 0]"
"[S(u, c)] P(l, o) | S(r, z) | S(u, p) | S(p, d) | S(d, i) | S(g, c) | S(i, g)","[0, 0, 1, 1, 1, 1, 1]"
"[S(v, a)] S(b, l) | S(v, d) | B(s, y) | P(k, z) | S(l, a) | S(d, b)","[1, 1, 0, 0, 1, 1]"
"[B(b, o)] P(u, g) | B(n, o) | B(f, n) | S(t, q) | B(c, f) | S(h, r) | B(b, c)","[0, 1, 1, 0, 1, 0, 1]"
"[S(o, h)] P(d, b) | B(m, x) | S(o, r) | S(r, u) | S(i, k) | S(u, h)","[0, 0, 1, 1, 0, 1]"
"[S(u, x)] B(v, g) | S(m, x) | S(q, s) | S(u, e) | S(d, b) | S(e, c) | S(c, m)","[0, 1, 0, 1, 0, 1, 1]"
"[P(v, m)] B(b, f) | P(v, q) | P(q, y) | P(y, o) | P(z, m) | P(o, z) | P(a, r) | B(n, p)","[0, 1, 1, 1, 1, 1, 0, 0]"
"[B(l, r)] B(o, d) | S(y, j) | B(d, t) | B(t, r) | P(m, p) | B(l, o) | B(b, e) | S(x, f)","[1, 0, 1, 1, 0, 1, 0, 0]"
"[P(b, f)] B(u, i) | S(o, t) | P(k, e) | P(w, n) | P(n, k) | P(v, y) | P(b, w) | P(q, r) | P(e, f)","[0, 0, 1, 1, 1, 0, 1, 0, 1]"
"[B(t, x)] B(e, s) | B(g, m) | S(y, j) | B(s, x) | B(t, e)","[1, 0, 0, 1, 1]"
"[S(t, c)] S(t, j) | S(j, l) | S(l, w) | S(n, r) | P(d, i) | S(v, c) | S(w, v) | S(e, s)","[1, 1, 1, 0, 0, 1, 1, 0]"
"[S(v, e)] S(l, e) | S(v, i) | S(p, c) | S(d, g) | S(i, o) | S(o, l)","[1, 1, 0, 0, 1, 1]"
"[S(f, w)] S(m, w) | P(d, b) | S(p, x) | S(l, a) | S(n, k) | S(a, m) | S(f, l)","[1, 0, 0, 1, 0, 1, 1]"
"[S(c, q)] S(g, i) | S(s, w) | S(v, m) | S(h, e) | S(i, h) | S(e, q) | P(u, j) | S(c, g) | P(r, o)","[1, 0, 0, 1, 1, 1, 0, 1, 0]"
"[S(n, k)] S(w, r) | S(h, i) | P(b, y) | S(o, d) | S(d, u) | S(n, o) | S(u, k)","[0, 0, 0, 1, 1, 1, 1]"
"[B(y, i)] B(e, u) | B(h, l) | B(u, h) | P(k, b) | B(l, i) | B(c, r) | B(y, e)","[1, 1, 1, 0, 1, 0, 1]"
"[B(i, j)] B(i, c) | B(p, m) | P(a, g) | B(c, p) | B(x, j) | B(m, x) | B(n, k)","[1, 1, 0, 1, 1, 1, 0]"
"[P(k, x)] P(r, d) | P(k, r) | P(z, q) | B(v, a) | P(d, x) | P(b, w)","[1, 1, 0, 0, 1, 0]"
"[S(s, h)] S(j, m) | S(v, x) | S(z, b) | P(t, l) | S(s, v) | S(c, w) | S(x, h)","[0, 1, 0, 0, 1, 0, 1]"
"[S(x, k)] S(x, g) | S(f, m) | S(y, o) | S(g, e) | S(e, v) | S(j, k) | P(t, s) | S(v, j)","[1, 0, 0, 1, 1, 1, 0, 1]"
"[S(f, r)] B(u, j) | S(q, r) | B(l, t) | S(f, h) | S(p, g) | P(x, v) | S(h, q)","[0, 1, 0, 1, 0, 0, 1]"
"[S(u, q)] S(a, n) | P(e, v) | S(u, a) | S(z, q) | S(h, b) | B(p, s) | S(n, z)","[1, 0, 1, 1, 0, 0, 1]"
"[P(n, v)] P(h, k) | P(n, h) | S(y, o) | P(k, v) | P(a, m)","[1, 1, 0, 1, 0]"
"[S(s, g)] S(c, g) | S(s, n) | S(o, c) | S(w, m) | S(n, o) | S(l, x)","[1, 1, 1, 0, 1, 0]"
"[S(t, f)] S(e, o) | S(y, f) | S(o, y) | B(v, l) | B(u, j) | S(t, e) | B(i, d) | S(b, p)","[1, 1, 1, 0, 0, 1, 0, 0]"
"[S(l, m)] S(n, m) | P(r, w) | S(l, y) | B(z, q) | S(o, n) | S(y, o)","[1, 0, 1, 0, 1, 1]"
"[S(w, c)] S(w, l) | S(l, t) | B(s, e) | P(x, m) | S(t, c) | B(v, f) | P(d, k)","[1, 1, 0, 0, 1, 0, 0]"
"[P(s, h)] P(s, l) | P(b, c) | P(w, h) | P(l, d) | P(d, w) | B(r, k)","[1, 0, 1, 1, 1, 0]"
"[S(x, t)] S(x, f) | P(i, p) | S(m, j) | S(f, m) | S(s, g) | S(j, t) | S(y, b)","[1, 0, 1, 1, 0, 1, 0]"
"[B(d, p)] B(e, p) | P(k, s) | B(f, v) | B(y, h) | B(g, e) | B(w, g) | B(d, w)","[1, 0, 0, 0, 1, 1, 1]"
"[S(w, l)] S(f, c) | S(s, f) | S(c, l) | S(i, z) | S(b, x) | P(n, d) | B(e, o) | S(w, s)","[1, 1, 1, 0, 0, 0, 0, 1]"
"[P(a, h)] S(k, w) | P(c, b) | P(z, l) | P(g, r) | B(y, f) | P(j, q) | P(r, h) | P(a, j) | P(q, g)","[0, 0, 0, 1, 0, 1, 1, 1, 1]"
"[S(r, h)] S(i, t) | B(p, k) | S(r, i) | S(d, f) | S(j, b) | S(t, d) | S(f, h) | P(v, y)","[1, 0, 1, 1, 0, 1, 1, 0]"
"[P(t, s)] B(r, h) | B(b, x) | B(a, m) | P(t, v) | P(j, s) | P(v, j)","[0, 0, 0, 1, 1, 1]"
"[P(x, q)] P(x, l) | S(b, h) | P(k, v) | P(l, u) | P(u, q) | P(i, o)","[1, 0, 0, 1, 1, 0]"
"[B(n, w)] P(t, a) | S(l, i) | S(r, c) | S(m, v) | B(x, w) | B(f, x) | B(n, f)","[0, 0, 0, 0, 1, 1, 1]"
"[S(r, d)] P(i, b) | B(v, h) | S(r, o) | S(q, d) | S(u, k) | S(o, q)","[0, 0, 1, 1, 0, 1]"
"[B(j, i)] B(w, m) | B(j, v) | B(v, w) | B(x, i) | S(g, c) | B(s, d) | B(m, x)","[1, 1, 1, 1, 0, 0, 1]"
"[B(i, m)] B(i, s) | B(q, m) | P(d, j) | B(s, p) | B(l, q) | B(a, g) | B(p, l)","[1, 1, 0, 1, 1, 0, 1]"
"[B(m, w)] B(v, l) | P(n, a) | S(h, u) | S(t, i) | B(m, v) | B(l, w)","[1, 0, 0, 0, 1, 1]"
"[S(x, z)] B(p, y) | P(q, h) | S(x, f) | S(c, z) | S(f, c) | P(i, k) | P(u, o)","[0, 0, 1, 1, 1, 0, 0]"
"[P(k, m)] P(k, w) | P(x, m) | P(w, g) | S(j, s) | P(y, x) | P(u, d) | P(g, y)","[1, 1, 1, 0, 1, 0, 1]"
"[B(d, s)] B(e, s) | S(v, q) | B(d, l) | P(m, h) | S(t, i) | B(l, e)","[1, 0, 1, 0, 0, 1]"
"[P(c, o)] P(d, h) | B(a, g) | B(l, b) | S(m, z) | P(c, w) | P(h, o) | P(u, d) | P(w, u)","[1, 0, 0, 0, 1, 1, 1, 1]"
"[P(j, b)] P(d, b) | P(c, m) | P(j, v) | S(w, n) | P(v, d)","[1, 0, 1, 0, 1]"
"[B(b, r)] B(b, o) | B(o, t) | B(t, r) | S(w, m) | B(x, i) | B(u, q) | B(z, j)","[1, 1, 1, 0, 0, 0, 0]"
"[P(z, y)] B(a, s) | P(l, x) | P(v, i) | P(r, u) | P(i, y) | P(z, v) | B(o, e)","[0, 0, 1, 0, 1, 1, 0]"
"[B(u, b)] B(f, k) | B(k, b) | B(v, f) | B(u, v) | P(o, x) | S(p, n)","[1, 1, 1, 1, 0, 0]"
"[P(c, n)] P(z, v) | P(b, t) | P(j, k) | P(s, n) | P(c, b) | P(l, s) | P(t, l)","[0, 1, 0, 1, 1, 1, 1]"
"[P(a, l)] P(u, f) | B(z, j) | S(c, n) | P(a, u) | P(f, l)","[1, 0, 0, 1, 1]"
"[P(x, q)] B(t, n) | P(r, z) | P(x, c) | P(i, r) | P(c, i) | S(e, w) | P(z, q) | S(b, j)","[0, 1, 1, 1, 1, 0, 1, 0]"
"[S(m, w)] S(e, a) | B(u, o) | S(a, j) | S(m, t) | P(r, f) | P(g, l) | S(j, w) | P(z, x) | S(t, e)","[1, 0, 1, 1, 0, 0, 1, 0, 1]"
"[P(r, c)] P(o, u) | P(k, h) | P(y, z) | P(d, l) | P(s, d) | P(l, c) | P(r, s) | B(x, m)","[0, 0, 0, 1, 1, 1, 1, 0]"
"[P(v, k)] S(m, r) | P(c, k) | P(v, j) | P(q, u) | P(a, p) | S(w, o) | P(j, c)","[0, 1, 1, 0, 0, 0, 1]"
"[B(h, u)] B(h, l) | P(p, d) | B(e, i) | B(l, b) | B(z, u) | B(o, m) | B(b, z)","[1, 0, 0, 1, 1, 0, 1]"
"[B(c, u)] B(k, u) | B(v, r) | P(p, o) | P(w, n) | B(b, k) | B(c, b) | S(q, z)","[1, 0, 0, 0, 1, 1, 0]"
"[S(t, h)] B(b, u) | S(c, l) | S(l, h) | P(w, i) | S(z, c) | S(t, z) | S(p, g) | B(q, s)","[0, 1, 1, 0, 1, 1, 0, 0]"
"[S(r, b)] P(l, p) | S(v, s) | S(e, v) | S(s, b) | S(r, x) | P(i, u) | S(x, e)","[0, 1, 1, 1, 1, 0, 1]"
"[S(k, m)] B(g, a) | B(h, j) | S(k, i) | S(z, s) | S(i, z) | S(s, m)","[0, 0, 1, 1, 1, 1]"
"[P(u, w)] P(j, w) | S(o, v) | P(t, x) | S(n, z) | P(b, j) | S(i, l) | P(x, b) | P(u, t)","[1, 0, 1, 0, 1, 0, 1, 1]"
"[P(b, n)] P(b, p) | P(f, j) | B(g, v) | P(w, n) | B(r, d) | P(t, w) | P(p, t)","[1, 0, 0, 1, 0, 1, 1]"
"[S(y, g)] S(y, o) | S(k, g) | S(o, k) | B(q, t) | P(a, p) | S(r, l)","[1, 1, 1, 0, 0, 0]"
"[P(v, l)] P(e, l) | P(r, s) | P(w, d) | P(s, e) | P(i, r) | B(j, b) | P(v, i) | S(g, a)","[1, 1, 0, 1, 1, 0, 1, 0]"
"[B(g, o)] P(m, w) | B(f, v) | P(i, u) | B(v, o) | S(y, k) | B(n, f) | P(h, z) | B(g, n)","[0, 1, 0, 1, 0, 1, 0, 1]"
"[P(i, m)] P(r, m) | S(t, c) | B(q, h) | P(v, r) | P(i, v) | S(o, x)","[1, 0, 0, 1, 1, 0]"
"[P(o, j)] P(t, j) | P(x, k) | P(z, b) | P(w, x) | P(k, t) | P(o, w) | B(f, v) | S(d, n)","[1, 1, 0, 1, 1, 1, 0, 0]"
"[S(x, s)] S(n, b) | S(w, r) | S(x, z) | B(h, a) | S(r, s) | B(p, d) | S(z, w) | S(g, c)","[0, 1, 1, 0, 1, 0, 1, 0]"
"[B(l, t)] S(x, n) | B(c, m) | B(l, e) | P(d, u) | B(e, g) | B(g, b) | B(a, t) | B(b, a) | B(f, w)","[0, 0, 1, 0, 1, 1, 1, 1, 0]"
"[P(a, o)] P(g, o) | P(a, v) | P(v, g) | P(f, u) | S(d, r) | B(z, k) | P(h, n)","[1, 1, 1, 0, 0, 0, 0]"
"[S(v, q)] S(v, w) | S(x, r) | S(e, f) | S(f, q) | P(s, b) | S(w, e) | P(c, z)","[1, 0, 1, 1, 0, 1, 0]"
"[B(u, t)] B(l, t) | B(i, c) | B(c, l) | B(u, i) | S(b, a) | P(y, f)","[1, 1, 1, 1, 0, 0]"
"[B(u, s)] P(d, i) | P(w, m) | B(j, s) | P(z, t) | B(u, q) | P(v, g) | B(q, a) | B(a, j)","[0, 0, 1, 0, 1, 0, 1, 1]"
"[S(x, u)] S(s, e) | S(y, z) | S(z, n) | P(h, c) | S(t, b) | S(n, u) | S(x, y)","[0, 1, 1, 0, 0, 1, 1]"
"[B(b, v)] B(b, l) | S(f, o) | B(d, y) | B(l, x) | B(x, v)","[1, 0, 0, 1, 1]"
"[S(c, x)] B(w, k) | S(h, b) | S(n, h) | S(b, x) | S(c, n) | P(j, i)","[0, 1, 1, 1, 1, 0]"
"[B(q, m)] B(y, v) | B(e, m) | S(d, j) | B(v, e) | S(z, f) | P(t, l) | B(q, y) | S(h, s)","[1, 1, 0, 1, 0, 0, 1, 0]"
"[P(u, i)] P(u, f) | P(c, e) | P(e, i) | P(d, c) | B(v, s) | P(f, d) | P(b, n) | S(q, m) | B(w, l)","[1, 1, 1, 1, 0, 1, 0, 0, 0]"
"[S(g, b)] B(f, n) | S(d, u) | S(w, v) | S(y, d) | S(x, s) | S(u, b) | S(g, y) | P(q, o)","[0, 1, 0, 1, 0, 1, 1, 0]"
"[B(d, z)] B(g, j) | S(e, i) | B(q, z) | B(d, w) | B(y, q) | B(w, y)","[0, 0, 1, 1, 1, 1]"
"[P(s, i)] P(s, o) | P(c, p) | P(o, z) | P(a, e) | P(z, i)","[1, 0, 1, 0, 1]"
"[S(u, a)] P(t, h) | S(m, f) | S(u, g) | S(i, a) | S(q, i) | S(g, q)","[0, 0, 1, 1, 1, 1]"
"[P(w, l)] P(i, u) | P(w, q) | P(u, x) | P(q, i) | P(t, b) | P(x, l) | P(d, o)","[1, 1, 1, 1, 0, 1, 0]"
"[B(n, x)] S(e, w) | B(y, x) | B(m, s) | B(n, b) | B(b, t) | S(d, h) | B(t, y)","[0, 1, 0, 1, 1, 0, 1]"
"[P(t, j)] P(u, p) | B(r, e) | P(w, u) | P(d, i) | P(p, j) | P(t, w)","[1, 0, 1, 0, 1, 1]"
"[B(y, v)] S(t, x) | B(j, q) | B(p, i) | B(y, p) | B(h, v) | B(f, l) | S(g, r) | B(i, h)","[0, 0, 1, 1, 1, 0, 0, 1]"
"[P(l, d)] S(c, g) | P(k, d) | P(l, b) | P(b, k) | S(w, n) | S(a, h)","[0, 1, 1, 1, 0, 0]"
"[S(p, w)] S(p, l) | P(r, o) | S(n, w) | S(e, m) | S(l, n) | B(t, s)","[1, 0, 1, 0, 1, 0]"
"[S(r, g)] P(u, a) | S(r, x) | S(s, g) | S(z, q) | B(e, f) | S(x, z) | P(b, t) | S(q, s) | S(j, k)","[0, 1, 1, 1, 0, 1, 0, 1, 0]"
"[B(g, n)] P(j, v) | P(r, a) | B(z, l) | B(p, s) | S(q, d) | B(l, e) | B(g, z) | B(e, n)","[0, 0, 1, 0, 0, 1, 1, 1]"
"[P(r, a)] S(e, j) | P(s, x) | P(r, c) | S(q, m) | P(c, n) | P(n, s) | P(x, a)","[0, 1, 1, 0, 1, 1, 1]"
